College,Fall Term,Record Type Code,Record Type Description,Head Count,Percentage
CUNY Bronx Community College,Fall 2007,1,1 Year Retention,1414,61.2
CUNY Bronx Community College,Fall 2007,2,150 Time Graduation,1414,8.4
CUNY Bronx Community College,Fall 2006,1,1 Year Retention,1283,61.4
CUNY Bronx Community College,Fall 2006,2,150 Time Graduation,1283,6.9
CUNY Bronx Community College,Fall 2005,1,1 Year Retention,1180,63
CUNY Bronx Community College,Fall 2005,2,150 Time Graduation,1180,7.5
CUNY Bronx Community College,Fall 2004,1,1 Year Retention,1176,62.9
CUNY Bronx Community College,Fall 2004,2,150 Time Graduation,1176,7.6
CUNY Bronx Community College,Fall 2003,1,1 Year Retention,1126,63.9
CUNY Bronx Community College,Fall 2003,2,150 Time Graduation,1126,7.2
CUNY Bronx Community College,Fall 2002,1,1 Year Retention,976,62.2
CUNY Bronx Community College,Fall 2002,2,150 Time Graduation,976,9.4
CUNY Bronx Community College,Fall 2001,1,1 Year Retention,942,60.9
CUNY Bronx Community College,Fall 2001,2,150 Time Graduation,942,8.8
CUNY Bronx Community College,Fall 2000,1,1 Year Retention,979,61.6
CUNY Bronx Community College,Fall 2000,2,150 Time Graduation,979,7.4
CUNY Bronx Community College,Fall 1999,1,1 Year Retention,1057,65
CUNY Bronx Community College,Fall 1999,2,150 Time Graduation,1057,9.9
CUNY Bronx Community College,Fall 1998,1,1 Year Retention,1033,59.3
CUNY Bronx Community College,Fall 1998,2,150 Time Graduation,1033,8.6
CUNY Bronx Community College,Fall 1997,1,1 Year Retention,1039,63.3
CUNY Bronx Community College,Fall 1997,2,150 Time Graduation,1039,10.2
CUNY Bronx Community College,Fall 1996,1,1 Year Retention,1173,61.1
CUNY Bronx Community College,Fall 1996,2,150 Time Graduation,1173,9
CUNY Bronx Community College,Fall 1995,1,1 Year Retention,1421,56.4
CUNY Bronx Community College,Fall 1995,2,150 Time Graduation,1421,7.3
CUNY Bronx Community College,Fall 1994,1,1 Year Retention,1368,64.2
CUNY Bronx Community College,Fall 1994,2,150 Time Graduation,1368,7.2
CUNY Bronx Community College,Fall 1993,1,1 Year Retention,1371,64.6
CUNY Bronx Community College,Fall 1993,2,150 Time Graduation,1371,6
CUNY Bronx Community College,Fall 1992,1,1 Year Retention,1175,64.2
CUNY Bronx Community College,Fall 1992,2,150 Time Graduation,1175,5.5
CUNY Bronx Community College,Fall 1991,1,1 Year Retention,1126,64.2
CUNY Bronx Community College,Fall 1991,2,150 Time Graduation,1126,5.3
CUNY Bronx Community College,Fall 1990,1,1 Year Retention,1008,60
CUNY Bronx Community College,Fall 1990,2,150 Time Graduation,1008,6.5
CUNY Brooklyn College,Fall 2017,1,1 Year Retention,1642,82.9
CUNY Brooklyn College,Fall 2016,1,1 Year Retention,1320,81.5
CUNY Brooklyn College,Fall 2015,1,1 Year Retention,1327,81.8
CUNY Brooklyn College,Fall 2014,1,1 Year Retention,1347,81.7
CUNY Brooklyn College,Fall 2013,1,1 Year Retention,1183,82
CUNY Brooklyn College,Fall 2012,1,1 Year Retention,1140,86.4
CUNY Brooklyn College,Fall 2012,2,150 Time Graduation,1140,58.1
CUNY Brooklyn College,Fall 2011,1,1 Year Retention,1139,84.2
CUNY Brooklyn College,Fall 2011,2,150 Time Graduation,1139,58.1
CUNY Brooklyn College,Fall 2010,1,1 Year Retention,1143,82
CUNY Brooklyn College,Fall 2010,2,150 Time Graduation,1143,50.9
CUNY Brooklyn College,Fall 2009,1,1 Year Retention,952,81.9
CUNY Brooklyn College,Fall 2009,2,150 Time Graduation,952,54.1
CUNY Brooklyn College,Fall 2008,1,1 Year Retention,1306,77.9
CUNY Brooklyn College,Fall 2008,2,150 Time Graduation,1306,50.4
CUNY Brooklyn College,Fall 2007,1,1 Year Retention,1272,77.2
CUNY Brooklyn College,Fall 2007,2,150 Time Graduation,1272,51.2
CUNY Brooklyn College,Fall 2006,1,1 Year Retention,1328,80.2
CUNY Brooklyn College,Fall 2006,2,150 Time Graduation,1328,53.8
CUNY Brooklyn College,Fall 2005,1,1 Year Retention,1354,78.4
CUNY Brooklyn College,Fall 2005,2,150 Time Graduation,1354,48.4
CUNY Brooklyn College,Fall 2004,1,1 Year Retention,1157,75.5
CUNY Brooklyn College,Fall 2004,2,150 Time Graduation,1157,48.5
CUNY Brooklyn College,Fall 2003,1,1 Year Retention,1274,78.6
CUNY Brooklyn College,Fall 2003,2,150 Time Graduation,1274,43.3
CUNY Brooklyn College,Fall 2002,1,1 Year Retention,1182,79.6
CUNY Brooklyn College,Fall 2002,2,150 Time Graduation,1182,43.7
CUNY Brooklyn College,Fall 2001,1,1 Year Retention,1009,83.4
CUNY Brooklyn College,Fall 2001,2,150 Time Graduation,1009,46.9
CUNY Brooklyn College,Fall 2000,1,1 Year Retention,1229,78.5
CUNY Brooklyn College,Fall 2000,2,150 Time Graduation,1229,44.3
CUNY Brooklyn College,Fall 1999,1,1 Year Retention,974,75.5
CUNY Brooklyn College,Fall 1999,2,150 Time Graduation,974,39.4
CUNY Brooklyn College,Fall 1998,1,1 Year Retention,1026,82.6
CUNY Brooklyn College,Fall 1998,2,150 Time Graduation,1026,43.7
CUNY Brooklyn College,Fall 1997,1,1 Year Retention,1338,77.7
CUNY Brooklyn College,Fall 1997,2,150 Time Graduation,1338,36.2
CUNY Brooklyn College,Fall 1996,1,1 Year Retention,1208,79.4
CUNY Brooklyn College,Fall 1996,2,150 Time Graduation,1208,37.3
CUNY Brooklyn College,Fall 1995,1,1 Year Retention,1167,75.8
CUNY Brooklyn College,Fall 1995,2,150 Time Graduation,1167,34.8
CUNY Brooklyn College,Fall 1994,1,1 Year Retention,1261,75.7
CUNY Brooklyn College,Fall 1994,2,150 Time Graduation,1261,33.1
CUNY Brooklyn College,Fall 1993,1,1 Year Retention,1268,78.4
CUNY Brooklyn College,Fall 1993,2,150 Time Graduation,1268,33.6
CUNY Brooklyn College,Fall 1992,1,1 Year Retention,1341,78.3
CUNY Brooklyn College,Fall 1992,2,150 Time Graduation,1341,33.9
CUNY Brooklyn College,Fall 1991,1,1 Year Retention,1475,78.3
CUNY Brooklyn College,Fall 1991,2,150 Time Graduation,1475,32.1
CUNY Brooklyn College,Fall 1990,1,1 Year Retention,1601,76.8
CUNY Brooklyn College,Fall 1990,2,150 Time Graduation,1601,33.2
CUNY City College,Fall 2017,1,1 Year Retention,1683,82.7
CUNY City College,Fall 2016,1,1 Year Retention,1805,85.9
CUNY City College,Fall 2015,1,1 Year Retention,1607,85.7
CUNY City College,Fall 2014,1,1 Year Retention,1425,87.4
CUNY City College,Fall 2013,1,1 Year Retention,1431,86
CUNY City College,Fall 2012,1,1 Year Retention,1381,87.5
CUNY City College,Fall 2012,2,150 Time Graduation,1381,55.3
CUNY City College,Fall 2011,1,1 Year Retention,1501,83.6
CUNY City College,Fall 2011,2,150 Time Graduation,1501,50
CUNY City College,Fall 2010,1,1 Year Retention,1368,85.7
CUNY City College,Fall 2010,2,150 Time Graduation,1368,46.9
CUNY City College,Fall 2009,1,1 Year Retention,1753,83.3
CUNY City College,Fall 2009,2,150 Time Graduation,1753,44.2
CUNY City College,Fall 2008,1,1 Year Retention,1744,79.5
CUNY City College,Fall 2008,2,150 Time Graduation,1744,44.2
CUNY City College,Fall 2007,1,1 Year Retention,1771,81.3
CUNY City College,Fall 2007,2,150 Time Graduation,1771,42
CUNY City College,Fall 2006,1,1 Year Retention,1529,79.5
CUNY City College,Fall 2006,2,150 Time Graduation,1529,42
CUNY City College,Fall 2005,1,1 Year Retention,1278,79.8
CUNY City College,Fall 2005,2,150 Time Graduation,1278,40
CUNY City College,Fall 2004,1,1 Year Retention,1168,78.6
CUNY City College,Fall 2004,2,150 Time Graduation,1168,38.9
CUNY City College,Fall 2003,1,1 Year Retention,1124,76.9
CUNY City College,Fall 2003,2,150 Time Graduation,1124,35
CUNY City College,Fall 2002,1,1 Year Retention,961,76
CUNY City College,Fall 2002,2,150 Time Graduation,961,37
CUNY City College,Fall 2001,1,1 Year Retention,705,76.2
CUNY City College,Fall 2001,2,150 Time Graduation,705,36.2
CUNY City College,Fall 2000,1,1 Year Retention,852,72.7
CUNY City College,Fall 2000,2,150 Time Graduation,852,30.3
CUNY City College,Fall 1999,1,1 Year Retention,773,77.4
CUNY City College,Fall 1999,2,150 Time Graduation,773,34.8
CUNY City College,Fall 1998,1,1 Year Retention,901,75.5
CUNY City College,Fall 1998,2,150 Time Graduation,901,30.9
CUNY City College,Fall 1997,1,1 Year Retention,947,75.6
CUNY City College,Fall 1997,2,150 Time Graduation,947,30.5
CUNY City College,Fall 1996,1,1 Year Retention,768,76.8
CUNY City College,Fall 1996,2,150 Time Graduation,768,28.4
CUNY City College,Fall 1995,1,1 Year Retention,865,71.2
CUNY City College,Fall 1995,2,150 Time Graduation,865,23.9
CUNY City College,Fall 1994,1,1 Year Retention,1179,75.1
CUNY City College,Fall 1994,2,150 Time Graduation,1179,22
CUNY City College,Fall 1993,1,1 Year Retention,1167,75.1
CUNY City College,Fall 1993,2,150 Time Graduation,1167,20
CUNY City College,Fall 1992,1,1 Year Retention,1071,79.8
CUNY City College,Fall 1992,2,150 Time Graduation,1071,23.5
CUNY City College,Fall 1991,1,1 Year Retention,1126,76.8
CUNY City College,Fall 1991,2,150 Time Graduation,1126,20.6
CUNY City College,Fall 1990,1,1 Year Retention,1165,73.6
CUNY City College,Fall 1990,2,150 Time Graduation,1165,20.3
CUNY College of Staten Island,Fall 2017,1,1 Year Retention,704,77.3
CUNY College of Staten Island,Fall 2016,1,1 Year Retention,604,76.5
CUNY College of Staten Island,Fall 2015,1,1 Year Retention,714,80.4
CUNY College of Staten Island,Fall 2014,1,1 Year Retention,693,79.7
CUNY College of Staten Island,Fall 2013,1,1 Year Retention,824,79.9
CUNY College of Staten Island,Fall 2012,1,1 Year Retention,782,82.9
CUNY College of Staten Island,Fall 2012,2,150 Time Graduation,782,48.5
CUNY College of Staten Island,Fall 2011,1,1 Year Retention,751,81.4
CUNY College of Staten Island,Fall 2011,2,150 Time Graduation,751,47.7
CUNY College of Staten Island,Fall 2010,1,1 Year Retention,708,83.6
CUNY College of Staten Island,Fall 2010,2,150 Time Graduation,708,45.9
CUNY College of Staten Island,Fall 2009,1,1 Year Retention,664,83.4
CUNY College of Staten Island,Fall 2009,2,150 Time Graduation,664,43.1
CUNY College of Staten Island,Fall 2008,1,1 Year Retention,528,79.7
CUNY College of Staten Island,Fall 2008,2,150 Time Graduation,528,47.3
CUNY College of Staten Island,Fall 2007,1,1 Year Retention,451,81.6
CUNY College of Staten Island,Fall 2007,2,150 Time Graduation,451,50.8
CUNY College of Staten Island,Fall 2006,1,1 Year Retention,446,81.8
CUNY College of Staten Island,Fall 2006,2,150 Time Graduation,446,47.3
CUNY College of Staten Island,Fall 2005,1,1 Year Retention,246,79.3
CUNY College of Staten Island,Fall 2005,2,150 Time Graduation,246,48
CUNY College of Staten Island,Fall 2004,1,1 Year Retention,260,82.7
CUNY College of Staten Island,Fall 2004,2,150 Time Graduation,260,48.1
CUNY College of Staten Island,Fall 2003,1,1 Year Retention,292,80.1
CUNY College of Staten Island,Fall 2003,2,150 Time Graduation,292,45.2
CUNY College of Staten Island,Fall 2002,1,1 Year Retention,283,81.3
CUNY College of Staten Island,Fall 2002,2,150 Time Graduation,283,45.6
CUNY College of Staten Island,Fall 2001,1,1 Year Retention,273,82.1
CUNY College of Staten Island,Fall 2001,2,150 Time Graduation,273,44.3
CUNY College of Staten Island,Fall 2000,1,1 Year Retention,214,83.2
CUNY College of Staten Island,Fall 2000,2,150 Time Graduation,214,51.4
CUNY College of Staten Island,Fall 1999,1,1 Year Retention,309,80.3
CUNY College of Staten Island,Fall 1999,2,150 Time Graduation,309,50.8
CUNY College of Staten Island,Fall 1998,1,1 Year Retention,296,78.4
CUNY College of Staten Island,Fall 1998,2,150 Time Graduation,296,36.8
CUNY College of Staten Island,Fall 1997,1,1 Year Retention,239,81.6
CUNY College of Staten Island,Fall 1997,2,150 Time Graduation,239,43.9
CUNY College of Staten Island,Fall 1996,1,1 Year Retention,194,74.7
CUNY College of Staten Island,Fall 1996,2,150 Time Graduation,194,30.4
CUNY College of Staten Island,Fall 1995,1,1 Year Retention,216,77.8
CUNY College of Staten Island,Fall 1995,2,150 Time Graduation,216,42.6
CUNY College of Staten Island,Fall 1994,1,1 Year Retention,205,78
CUNY College of Staten Island,Fall 1994,2,150 Time Graduation,205,40
CUNY College of Staten Island,Fall 1993,1,1 Year Retention,163,81
CUNY College of Staten Island,Fall 1993,2,150 Time Graduation,163,41.7
CUNY College of Staten Island,Fall 1992,1,1 Year Retention,138,79
CUNY College of Staten Island,Fall 1992,2,150 Time Graduation,138,36.2
CUNY College of Staten Island,Fall 1991,1,1 Year Retention,150,72.7
CUNY College of Staten Island,Fall 1991,2,150 Time Graduation,150,36.7
CUNY College of Staten Island,Fall 1990,1,1 Year Retention,129,76
CUNY College of Staten Island,Fall 1990,2,150 Time Graduation,129,32.6
CUNY Guttman Community College,Fall 2014,2,150 Time Graduation,410,46.3
CUNY Guttman Community College,Fall 2013,2,150 Time Graduation,278,43.5
CUNY Guttman Community College,Fall 2012,2,150 Time Graduation,289,49.1
CUNY Hostos Community College,Fall 2017,1,1 Year Retention,1032,55.6
CUNY Hostos Community College,Fall 2016,1,1 Year Retention,900,61.1
CUNY Hostos Community College,Fall 2015,1,1 Year Retention,976,68
CUNY Hostos Community College,Fall 2015,2,150 Time Graduation,976,26.8
CUNY Hostos Community College,Fall 2014,1,1 Year Retention,907,60.5
CUNY Hostos Community College,Fall 2014,2,150 Time Graduation,907,20
CUNY Hostos Community College,Fall 2013,1,1 Year Retention,1100,60.5
CUNY Hostos Community College,Fall 2013,2,150 Time Graduation,1100,22.1
CUNY Hostos Community College,Fall 2012,1,1 Year Retention,805,67.2
CUNY Hostos Community College,Fall 2012,2,150 Time Graduation,805,20.6
CUNY Hostos Community College,Fall 2011,1,1 Year Retention,1091,64.7
CUNY Hostos Community College,Fall 2011,2,150 Time Graduation,1091,12.6
CUNY Hostos Community College,Fall 2010,1,1 Year Retention,1000,63.7
CUNY Hostos Community College,Fall 2010,2,150 Time Graduation,1000,11.9
CUNY Hostos Community College,Fall 2009,1,1 Year Retention,1081,63.2
CUNY Hostos Community College,Fall 2009,2,150 Time Graduation,1081,10.3
CUNY Hostos Community College,Fall 2008,1,1 Year Retention,820,57
CUNY Hostos Community College,Fall 2008,2,150 Time Graduation,820,8.2
CUNY Hostos Community College,Fall 2007,1,1 Year Retention,731,60.5
CUNY Hostos Community College,Fall 2007,2,150 Time Graduation,731,11.6
CUNY Hostos Community College,Fall 2006,1,1 Year Retention,688,57.8
CUNY Hostos Community College,Fall 2006,2,150 Time Graduation,688,10.5
CUNY Hostos Community College,Fall 2005,1,1 Year Retention,622,58.4
CUNY Hostos Community College,Fall 2005,2,150 Time Graduation,622,7.7
CUNY Hostos Community College,Fall 2004,1,1 Year Retention,662,60.4
CUNY Hostos Community College,Fall 2004,2,150 Time Graduation,662,8.6
CUNY Hostos Community College,Fall 2003,1,1 Year Retention,551,64.4
CUNY Hostos Community College,Fall 2003,2,150 Time Graduation,551,8.3
CUNY Hostos Community College,Fall 2002,1,1 Year Retention,570,56.8
CUNY Hostos Community College,Fall 2002,2,150 Time Graduation,570,7.4
CUNY Hostos Community College,Fall 2001,1,1 Year Retention,473,60
CUNY Hostos Community College,Fall 2001,2,150 Time Graduation,473,9.9
CUNY Hostos Community College,Fall 2000,1,1 Year Retention,598,59.2
CUNY Hostos Community College,Fall 2000,2,150 Time Graduation,598,7
CUNY Hostos Community College,Fall 1999,1,1 Year Retention,447,56.8
CUNY Hostos Community College,Fall 1999,2,150 Time Graduation,447,9.2
CUNY Hostos Community College,Fall 1998,1,1 Year Retention,572,62.1
CUNY Hostos Community College,Fall 1998,2,150 Time Graduation,572,7.7
CUNY Hostos Community College,Fall 1997,1,1 Year Retention,643,60.3
CUNY Hostos Community College,Fall 1997,2,150 Time Graduation,643,7.9
CUNY Hostos Community College,Fall 1996,1,1 Year Retention,891,57.9
CUNY Hostos Community College,Fall 1996,2,150 Time Graduation,891,9
CUNY Hostos Community College,Fall 1995,1,1 Year Retention,828,64.6
CUNY Hostos Community College,Fall 1995,2,150 Time Graduation,828,9.1
CUNY Hostos Community College,Fall 1994,1,1 Year Retention,1204,61
CUNY Hostos Community College,Fall 1994,2,150 Time Graduation,1204,5.6
CUNY Hostos Community College,Fall 1993,1,1 Year Retention,1043,66.1
CUNY Hostos Community College,Fall 1993,2,150 Time Graduation,1043,7.5
CUNY Hostos Community College,Fall 1992,1,1 Year Retention,863,54.5
CUNY Hostos Community College,Fall 1992,2,150 Time Graduation,863,5.8
CUNY Hostos Community College,Fall 1991,1,1 Year Retention,939,59
CUNY Hostos Community College,Fall 1991,2,150 Time Graduation,939,7.8
CUNY Hostos Community College,Fall 1990,1,1 Year Retention,827,54.7
CUNY Hostos Community College,Fall 1990,2,150 Time Graduation,827,6.3
CUNY Hunter College,Fall 2017,1,1 Year Retention,2330,85.3
CUNY Hunter College,Fall 2016,1,1 Year Retention,2193,83.4
CUNY Hunter College,Fall 2015,1,1 Year Retention,2168,84.6
CUNY Hunter College,Fall 2014,1,1 Year Retention,2038,82.5
CUNY Hunter College,Fall 2013,1,1 Year Retention,1921,86.1
CUNY Hunter College,Fall 2012,1,1 Year Retention,1924,86.7
CUNY Hunter College,Fall 2012,2,150 Time Graduation,1924,56.2
CUNY Hunter College,Fall 2011,1,1 Year Retention,2130,86.5
CUNY Hunter College,Fall 2011,2,150 Time Graduation,2130,51.9
CUNY Hunter College,Fall 2010,1,1 Year Retention,1740,85.4
CUNY Hunter College,Fall 2010,2,150 Time Graduation,1740,53.3
CUNY Hunter College,Fall 2009,1,1 Year Retention,1983,84.7
CUNY Hunter College,Fall 2009,2,150 Time Graduation,1983,53.6
CUNY Hunter College,Fall 2008,1,1 Year Retention,1988,84.2
CUNY Hunter College,Fall 2008,2,150 Time Graduation,1988,51.7
CUNY Hunter College,Fall 2007,1,1 Year Retention,1854,83.6
CUNY Hunter College,Fall 2007,2,150 Time Graduation,1854,50.4
CUNY Hunter College,Fall 2006,1,1 Year Retention,1813,81.7
CUNY Hunter College,Fall 2006,2,150 Time Graduation,1813,45.7
CUNY Hunter College,Fall 2005,1,1 Year Retention,1776,80.2
CUNY Hunter College,Fall 2005,2,150 Time Graduation,1776,45.9
CUNY Hunter College,Fall 2004,1,1 Year Retention,1824,82.3
